ID	Elav_1	Elav_2	Elav_3	Elav_4	Elav_5	Repo_1	Repo_2	Repo_3	Repo_4	Repo_5
CG31851	6.727171322	7.516181994	6.543216468	6.320330495	7.210003701	8.815240927	12.72858374	8.633825892	24.5900029	11.47164198
CG31852	115.3600592	153.2772742	176.0693527	203.6573398	218.2745323	156.4979555	135.2983092	134.3637355	648.0673761	163.1437603
CG31855	213.7825074	268.727471	433.5335999	467.8817025	427.5650147	364.5568501	53.44562684	143.0127537	75.06143675	57.28160454
CG31856	8.815240927	8.111675838	8.111675838	9.579829637	8.815240927	11.39240156	13.26911273	8.815240927	18.25221945	8.633825892
CG31857	108.3834	139.1020624	171.254727	225.9719671	51.98415337	300.245747	153.2772742	202.2505758	81.57188015	87.42657643
CG31858	45.56960626	97.68058937	63.11889309	62.24991663	33.35890435	163.1437603	79.3412928	24.7610399	41.93258892	22.31589866
CG31859	37.01402188	43.11147446	39.12448889	40.50421101	32.89964245	32.44670335	44.01733818	48.84029469	128.8903104	51.98415337
CG3186	955.4257833	929.299615	1360.574274	809.0023033	989.1188008	1964.572916	1209.336485	1428.217514	115.3600592	879.1710069
CG31860	49.8665331	32.67238802	32.2225776	32	72.00374302	39.6706464	32.89964245	111.4304721	42.22425314	24.25146506
CG31861	90.50966799	176.0693527	61.39290364	86.22294892	247.2797002	63.55791971	131.5985698	62.24991663	76.10925536	56.10276616
CG31862	5.028053498	5.696200782	4.890561111	5.856342784	8.938297105	5.696200782	6.062866266	6.062866266	7.621103984	6.453134074
CG31866	464.6498075	424.6116075	372.2169644	398.9322648	149.0858991	257.7806208	93.70148454	501.4631924	1408.554822	51.26847217
CG31867	15.67072476	15.24220797	14.52030649	15.77972327	17.3877578	16.22335168	22.16175149	15.88947993	45.56960626	25.8125363
CG31868	64	68.11969168	71.50637684	69.5510312	59.71411146	93.05424111	95.00950852	88.64700596	165.4211623	116.1624519
CG31869	50.21338227	54.19169999	45.88656794	51.62507259	61.39290364	88.64700596	85.62736351	66.71780869	172.4458978	85.62736351
CG3187	163.1437603	102.5369443	109.1372661	68.11969168	56.49299176	78.24897777	33.59093388	27.28431654	44.63179732	48.50293013
